질병코드,한글명,영문명,카테고리
E11.68,"달리 분류되지 않은 기타 명시된 합병증을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with other specified complication, not elsewhere classified",당뇨
E11.68,"달리 분류되지 않은 기타 명시된 합병증을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with other specified complication, not elsewhere classified",당뇨
E11.68,"달리 분류되지 않은 기타 명시된 합병증을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with other specified complication, not elsewhere classified",당뇨
E11.68,달리 분류되지 않은 기타 명시된 합병증을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with other specified complication, not elsewhere classified",당뇨
E11.7,다발성 합병증을 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with multiple complications",당뇨
E11.7,"다발성 합병증을 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with multiple complications",당뇨
E11.7,"다발성 합병증을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with multiple complications",당뇨
E11.7,"다발성 합병증을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with multiple complications",당뇨
E11.7,"다발성 합병증을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with multiple complications",당뇨
E11.7,다발성 합병증을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with multiple complications",당뇨
E11.70,당뇨병성 족부궤양을 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with diabetic foot ulcer",당뇨
E11.70,"당뇨병성 족부궤양을 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with diabetic foot ulcer",당뇨
E11.70,"당뇨병성 족부궤양을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with diabetic foot ulcer",당뇨
E11.70,"당뇨병성 족부궤양을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with diabetic foot ulcer",당뇨
E11.70,"당뇨병성 족부궤양을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with diabetic foot ulcer",당뇨
E11.70,당뇨병성 족부궤양을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with diabetic foot ulcer",당뇨
E11.71,당뇨병성 족부궤양 및 괴저를 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with diabetic foot ulcer and gangrene",당뇨
E11.71,"당뇨병성 족부궤양 및 괴저를 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with diabetic foot ulcer and gangrene",당뇨
E11.71,"당뇨병성 족부궤양 및 괴저를 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with diabetic foot ulcer and gangrene",당뇨
E11.71,"당뇨병성 족부궤양 및 괴저를 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with diabetic foot ulcer and gangrene",당뇨
E11.71,"당뇨병성 족부궤양 및 괴저를 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with diabetic foot ulcer and gangrene",당뇨
E11.71,당뇨병성 족부궤양 및 괴저를 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with diabetic foot ulcer and gangrene",당뇨
E11.72,기타 및 상세불명의 당뇨병성 족부합병증을 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with other and unspecified diabetic foot complications",당뇨
E11.72,"기타 및 상세불명의 당뇨병성 족부합병증을 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with other and unspecified diabetic foot complications",당뇨
E11.72,"기타 및 상세불명의 당뇨병성 족부합병증을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with other and unspecified diabetic foot complications",당뇨
E11.72,"기타 및 상세불명의 당뇨병성 족부합병증을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with other and unspecified diabetic foot complications",당뇨
E11.72,"기타 및 상세불명의 당뇨병성 족부합병증을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with other and unspecified diabetic foot complications",당뇨
E11.72,기타 및 상세불명의 당뇨병성 족부합병증을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with other and unspecified diabetic foot complications",당뇨
E11.78,기타 다발성 합병증을 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with other multiple complications",당뇨
E11.78,"기타 다발성 합병증을 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with other multiple complications",당뇨
E11.78,"기타 다발성 합병증을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with other multiple complications",당뇨
E11.78,"기타 다발성 합병증을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with other multiple complications",당뇨
E11.78,"기타 다발성 합병증을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with other multiple complications",당뇨
E11.78,기타 다발성 합병증을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with other multiple complications",당뇨
E11.8,상세불명의 합병증을 동반한 2형 당뇨병,"Type 2 diabetes mellitus, with unspecified complications",당뇨
E11.8,"상세불명의 합병증을 동반한 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), with unspecified complications",당뇨
E11.8,"상세불명의 합병증을 동반한 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), with unspecified complications",당뇨
E11.8,"상세불명의 합병증을 동반한 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), with unspecified complications",당뇨
E11.8,"상세불명의 합병증을 동반한 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), with unspecified complications",당뇨
E11.8,상세불명의 합병증을 동반한 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, with unspecified complications",당뇨
E11.9,합병증을 동반하지 않은 2형 당뇨병,"Type 2 diabetes mellitus, without complications",당뇨
E11.9,"합병증을 동반하지 않은 비케톤성 당뇨병(진성, 비비만성, 비만성)","Nonketotic diabetes (mellitus, nonobese, obese), without complications",당뇨
E11.9,"합병증을 동반하지 않은 성숙기발병당뇨병(진성, 비비만성, 비만성)","Maturity-onset diabetes (mellitus, nonobese, obese), without complications",당뇨
E11.9,"합병증을 동반하지 않은 성인발병당뇨병(진성, 비비만성, 비만성)","Adult-onset diabetes (mellitus, nonobese, obese), without complications",당뇨
E11.9,"합병증을 동반하지 않은 안정성 당뇨병(진성, 비비만성, 비만성)","Stable diabetes(mellitus, nonobese, obese), without complications",당뇨
E11.9,합병증을 동반하지 않은 청년의 인슐린비의존 당뇨병,"Non-insulin-dependent diabetes of the young, without complications",당뇨
E12,영양실조-관련 당뇨병,Malnutrition-related diabetes mellitus,당뇨
E12,1형 영양실조-관련 당뇨병,Type 1 malnutrition- related diabetes mellitus,당뇨
E12,2형 영양실조-관련 당뇨병,Type 2 malnutrition- related diabetes mellitus,당뇨
E12,당뇨 NOS(R81),Glycosuria NOS(R81),당뇨
E12,신생아당뇨병(P70.2),Neonatal diabetes mellitus(P70.2),당뇨
E12,신장성 당뇨(E74.8),Renal glycosuria(E74.8),당뇨
E12,"임신, 출산 및 산후기의 당뇨병(O24.-)","Diabetes mellitus in pregnancy, childbirth and the puerperium)(O24.-)",당뇨
E12.0,혼수를 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma",당뇨
E12.0 ,혼수를 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma",당뇨
E12.0 ,혼수를 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma",당뇨
E12.00,고삼투압과 혼수를 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma, with hyperosmolarity",당뇨
E12.00,고삼투압과 혼수를 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma, with hyperosmolarity",당뇨
E12.00,고삼투압과 혼수를 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma, with hyperosmolarity",당뇨
E12.00,고혈당 혼수를 동반한 1형 영양실조-관련 당뇨병 NOS,"Type 1 malnutrition- related diabetes mellitus, with hyperglycaemic coma NOS",당뇨
E12.00,고혈당 혼수를 동반한 2형 영양실조-관련 당뇨병 NOS,"Type 2 malnutrition- related diabetes mellitus, with hyperglycaemic coma NOS",당뇨
E12.00,고혈당 혼수를 동반한 영양실조-관련 당뇨병 NOS,"Malnutrition-related diabetes mellitus, with hyperglycaemic coma NOS",당뇨
E12.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E12.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E12.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E12.01,혼수와 케토산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma, with ketoacidosis",당뇨
E12.01,혼수와 케토산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma, with ketoacidosis",당뇨
E12.01,혼수와 케토산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma, with ketoacidosis",당뇨
E12.02,혼수와 젖산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma, with lactic acidosis",당뇨
E12.02,혼수와 젖산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma, with lactic acidosis",당뇨
E12.02,혼수와 젖산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma, with lactic acidosis",당뇨
E12.03,혼수와 케토산증 및 젖산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma, with ketoacidosis, with lactic acidosis",당뇨
E12.03,혼수와 케토산증 및 젖산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma, with ketoacidosis, with lactic acidosis",당뇨
E12.03,혼수와 케토산증 및 젖산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma, with ketoacidosis, with lactic acidosis",당뇨
E12.08,기타 및 상세불명의 혼수를 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with coma, other and unspecified",당뇨
E12.08,기타 및 상세불명의 혼수를 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with coma, other and unspecified",당뇨
E12.08,기타 및 상세불명의 혼수를 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with coma, other and unspecified",당뇨
E12.08,당뇨병성 저혈당성 혼수를 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with diabetic hypoglycaemic coma",당뇨
E12.08,당뇨병성 저혈당성 혼수를 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with diabetic hypoglycaemic coma",당뇨
E12.08,당뇨병성 저혈당성 혼수를 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with diabetic hypoglycaemic coma",당뇨
E12.1,산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with acidosis",당뇨
E12.1,산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with acidosis",당뇨
E12.1,산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with acidosis",당뇨
E12.10,케토산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with ketoacidosis",당뇨
E12.10,케토산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with ketoacidosis",당뇨
E12.10,케토산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with ketoacidosis",당뇨
E12.11,젖산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with lactic acidosis",당뇨
E12.11,젖산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with lactic acidosis",당뇨
E12.11,젖산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with lactic acidosis",당뇨
E12.12,케토산증 및 젖산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with ketoacidosis, with lactic acidosis",당뇨
E12.12,케토산증 및 젖산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with ketoacidosis, with lactic acidosis",당뇨
E12.12,케토산증 및 젖산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with ketoacidosis, with lactic acidosis",당뇨
E12.18,기타 및 상세불명의 산증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with acidosis, other and unspecified",당뇨
E12.18,기타 및 상세불명의 산증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with acidosis, other and unspecified",당뇨
E12.18,기타 및 상세불명의 산증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with acidosis, other and unspecified",당뇨
E12.2,신장합병증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with renal complications",당뇨
E12.2,신장합병증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with renal complications",당뇨
E12.2,신장합병증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with renal complications",당뇨
E12.20,초기 당뇨병성 신장병증을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with incipient diabetic nephropathy(N08.3*)",당뇨
E12.20,초기 당뇨병성 신장병증을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with incipient diabetic nephropathy(N08.3*)",당뇨
E12.20,초기 당뇨병성 신장병증을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with incipient diabetic nephropathy(N08.3*)",당뇨
E12.20,미세알부민뇨(지속적)(일정한)를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with microalbuminuria(persistent)(constant)(N08.3*)",당뇨
E12.20,미세알부민뇨(지속적)(일정한)를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with microalbuminuria(persistent)(constant)(N08.3*)",당뇨
E12.20,미세알부민뇨(지속적)(일정한)를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with microalbuminuria(persistent)(constant)(N08.3*)",당뇨
E12.20,사구체 기저막의 비후를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with glomerular basement-membrane thickening(N08.3*)",당뇨
E12.20,사구체 기저막의 비후를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with glomerular basement-membrane thickening(N08.3*)",당뇨
E12.20,사구체 기저막의 비후를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with glomerular basement-membrane thickening(N08.3*)",당뇨
E12.20,사구체 메산지음 확장을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with glomerular mesangial expansion(N08.3*)",당뇨
E12.20,사구체 메산지음 확장을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with glomerular mesangial expansion(N08.3*)",당뇨
E12.20,사구체 메산지음 확장을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with glomerular mesangial expansion(N08.3*)",당뇨
E12.20,초기 당뇨병성 신장병증(조기)(가역적)을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with incipient diabetic nephropathy(early)(reversible)(N08.3*)",당뇨
E12.20,초기 당뇨병성 신장병증(조기)(가역적)을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with incipient diabetic nephropathy(early)(reversible)(N08.3*)",당뇨
E12.20,초기 당뇨병성 신장병증(조기)(가역적)을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with incipient diabetic nephropathy(early)(reversible)(N08.3*)",당뇨
E12.21,확정된 당뇨병성 신장병증을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with established diabetic nephropathy(N08.3*)",당뇨
E12.21,확정된 당뇨병성 신장병증을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with established diabetic nephropathy(N08.3*)",당뇨
E12.21,확정된 당뇨병성 신장병증을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with established diabetic nephropathy(N08.3*)",당뇨
E12.21,단백뇨(고정된)(지속적)를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with proteinuria(fixed)(persistent)(N08.3*)",당뇨
E12.21,단백뇨(고정된)(지속적)를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with proteinuria(fixed)(persistent)(N08.3*)",당뇨
E12.21,단백뇨(고정된)(지속적)를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with proteinuria(fixed)(persistent)(N08.3*)",당뇨
E12.21,마크로알부민뇨를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with macroalbuminuria(N08.3*)",당뇨
E12.21,마크로알부민뇨를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with macroalbuminuria(N08.3*)",당뇨
E12.21,마크로알부민뇨를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with macroalbuminuria(N08.3*)",당뇨
E12.21,사구체경화증(미만성)(모세혈관내)(결절성)을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with glomerulosclerosis(diffuse)(intracapillary)(nodular)(N08.3*)",당뇨
E12.21,사구체경화증(미만성)(모세혈관내)(결절성)을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with glomerulosclerosis(diffuse)(intracapillary)(nodular)(N08.3*)",당뇨
E12.21,사구체경화증(미만성)(모세혈관내)(결절성)을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with glomerulosclerosis(diffuse)(intracapillary)(nodular)(N08.3*)",당뇨
E12.21,신장질환(진행된)(NOS)(진행형)을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with nephropathy(advanced)(NOS)(progressive)(N08.3*)",당뇨
E12.21,신장질환(진행된)(NOS)(진행형)을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with nephropathy(advanced)(NOS)(progressive)(N08.3*)",당뇨
E12.21,신장질환(진행된)(NOS)(진행형)을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with nephropathy(advanced)(NOS)(progressive)(N08.3*)",당뇨
E12.21,키멜스틸-윌슨증후군을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with Kimmelstiel-Wilson syndrome(N08.3*)",당뇨
E12.21,키멜스틸-윌슨증후군을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with Kimmelstiel-Wilson syndrome(N08.3*)",당뇨
E12.21,키멜스틸-윌슨증후군을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with Kimmelstiel-Wilson syndrome(N08.3*)",당뇨
E12.22,만성 콩팥병을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with chronic kidney disease(N08.3*)",당뇨
E12.22,만성 콩팥병을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with chronic kidney disease(N08.3*)",당뇨
E12.22,만성 콩팥병을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with chronic kidney disease(N08.3*)",당뇨
E12.22,만성 신부전을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with chronic renal failure(N08.3*)",당뇨
E12.22,만성 신부전을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with chronic renal failure(N08.3*)",당뇨
E12.22,만성 신부전을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with chronic renal failure(N08.3*)",당뇨
E12.22,신장기능장애를 동반한 1형 영양실조-관련 당뇨병 NOS(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with renal impairment NOS(N08.3*)",당뇨
E12.22,신장기능장애를 동반한 2형 영양실조-관련 당뇨병 NOS(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with renal impairment NOS(N08.3*)",당뇨
E12.22,신장기능장애를 동반한 영양실조-관련 당뇨병 NOS(N08.3*),"Malnutrition-related diabetes mellitus, with renal impairment NOS(N08.3*)",당뇨
E12.28,기타 및 상세불명의 신장합병증을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with other and unspecified renal complication(N08.3*)",당뇨
E12.28,기타 및 상세불명의 신장합병증을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with other and unspecified renal complication(N08.3*)",당뇨
E12.28,기타 및 상세불명의 신장합병증을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with other and unspecified renal complication(N08.3*)",당뇨
E12.28,급성 신부전을 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with acute renal failure(N08.3*)",당뇨
E12.28,급성 신부전을 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with acute renal failure(N08.3*)",당뇨
E12.28,급성 신부전을 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with acute renal failure(N08.3*)",당뇨
E12.28,급성 신장기능장애를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with acute renal impairment(N08.3*)",당뇨
E12.28,급성 신장기능장애를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with acute renal impairment(N08.3*)",당뇨
E12.28,급성 신장기능장애를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with acute renal impairment(N08.3*)",당뇨
E12.28,수질(유두)괴사를 동반한 1형 영양실조-관련 당뇨병(N08.3*),"Type 1 malnutrition- related diabetes mellitus, with medullary (papillary) necrosis(N08.3*)",당뇨
E12.28,수질(유두)괴사를 동반한 2형 영양실조-관련 당뇨병(N08.3*),"Type 2 malnutrition- related diabetes mellitus, with medullary (papillary) necrosis(N08.3*)",당뇨
E12.28,수질(유두)괴사를 동반한 영양실조-관련 당뇨병(N08.3*),"Malnutrition-related diabetes mellitus, with medullary (papillary) necrosis(N08.3*)",당뇨
E12.3,눈합병증을 동반한 영양실조-관련 당뇨병,"Malnutrition-related diabetes mellitus, with ophthalmic complications",당뇨
E12.3,눈합병증을 동반한 1형 영양실조-관련 당뇨병,"Type 1 malnutrition- related diabetes mellitus, with ophthalmic complications",당뇨
E12.3,눈합병증을 동반한 2형 영양실조-관련 당뇨병,"Type 2 malnutrition- related diabetes mellitus, with ophthalmic complications",당뇨
E12.31,당뇨병성 비증식성 망막병증을 동반한 영양실조-관련 당뇨병(H36.0*),"Malnutrition-related diabetes mellitus, with diabetic nonproliferative retinopathy(H36.0*)",당뇨
E12.31,당뇨병성 비증식성 망막병증을 동반한 1형 영양실조-관련 당뇨병(H36.0*),"Type 1 malnutrition- related diabetes mellitus, with diabetic nonproliferative retinopathy(H36.0*)",당뇨
E12.31,당뇨병성 비증식성 망막병증을 동반한 2형 영양실조-관련 당뇨병(H36.0*),"Type 2 malnutrition- related diabetes mellitus, with diabetic nonproliferative retinopathy(H36.0*)",당뇨
E12.31,망막내 미세혈관이상(면화반점)을 동반한 1형 영양실조-관련 당뇨병(H36.0*),"Type 1 malnutrition- related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , cotton-wool spot(H36.0*)",당뇨
E12.31,망막내 미세혈관이상(면화반점)을 동반한 2형 영양실조-관련 당뇨병(H36.0*),"Type 2 malnutrition- related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , cotton-wool spot(H36.0*)",당뇨
E12.31,망막내 미세혈관이상(면화반점)을 동반한 영양실조-관련 당뇨병(H36.0*),"Malnutrition-related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , cotton-wool spot(H36.0*)",당뇨
E12.31,"망막내 미세혈관이상(정맥 염주, 고리, 중복)을 동반한 1형 영양실조-관련 당뇨병(H36.0*)","Type 1 malnutrition- related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , venous beading, looping, reduplication(H36.0*)",당뇨
E12.31,"망막내 미세혈관이상(정맥 염주, 고리, 중복)을 동반한 2형 영양실조-관련 당뇨병(H36.0*)","Type 2 malnutrition- related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , venous beading, looping, reduplication(H36.0*)",당뇨
E12.31,"망막내 미세혈관이상(정맥 염주, 고리, 중복)을 동반한 영양실조-관련 당뇨병(H36.0*)","Malnutrition-related diabetes mellitus, with intraretinal microvascular abnormality(IRMA) , venous beading, looping, reduplication(H36.0*)",당뇨
